id;homeID;awayID;season;status;roundID;game_week;revised_game_week;homeGoals;awayGoals;homeGoalCount;awayGoalCount;totalGoalCount;team_a_corners;team_b_corners;totalCornerCount;team_a_offsides;team_b_offsides;team_a_yellow_cards;team_b_yellow_cards;team_a_red_cards;team_b_red_cards;team_a_shotsOnTarget;team_b_shotsOnTarget;team_a_shotsOffTarget;team_b_shotsOffTarget;team_a_shots;team_b_shots;team_a_fouls;team_b_fouls;team_a_possession;team_b_possession;refereeID;coach_a_ID;coach_b_ID;stadium_name;stadium_location;team_a_cards_num;team_b_cards_num;odds_ft_1;odds_ft_x;odds_ft_2;odds_ft_over05;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_ft_under05;odds_ft_under15;odds_ft_under25;odds_ft_under35;odds_ft_under45;odds_btts_yes;odds_btts_no;odds_team_a_cs_yes;odds_team_a_cs_no;odds_team_b_cs_yes;odds_team_b_cs_no;odds_doublechance_1x;odds_doublechance_12;odds_doublechance_x2;odds_1st_half_result_1;odds_1st_half_result_x;odds_1st_half_result_2;odds_2nd_half_result_1;odds_2nd_half_result_x;odds_2nd_half_result_2;odds_dnb_1;odds_dnb_2;odds_corners_over_75;odds_corners_over_85;odds_corners_over_95;odds_corners_over_105;odds_corners_over_115;odds_corners_under_75;odds_corners_under_85;odds_corners_under_95;odds_corners_under_105;odds_corners_under_115;odds_corners_1;odds_corners_x;odds_corners_2;odds_team_to_score_first_1;odds_team_to_score_first_x;odds_team_to_score_first_2;odds_win_to_nil_1;odds_win_to_nil_2;odds_1st_half_over05;odds_1st_half_over15;odds_1st_half_over25;odds_1st_half_over35;odds_1st_half_under05;odds_1st_half_under15;odds_1st_half_under25;odds_1st_half_under35;odds_2nd_half_over05;odds_2nd_half_over15;odds_2nd_half_over25;odds_2nd_half_over35;odds_2nd_half_under05;odds_2nd_half_under15;odds_2nd_half_under25;odds_2nd_half_under35;odds_btts_1st_half_yes;odds_btts_1st_half_no;odds_btts_2nd_half_yes;odds_btts_2nd_half_no;overallGoalCount;ht_goals_team_a;ht_goals_team_b;goals_2hg_team_a;goals_2hg_team_b;GoalCount_2hg;HTGoalCount;date_unix;winningTeam;no_home_away;btts_potential;btts_fhg_potential;btts_2hg_potential;goalTimingDisabled;attendance;corner_timings_recorded;card_timings_recorded;team_a_fh_corners;team_b_fh_corners;team_a_2h_corners;team_b_2h_corners;corner_fh_count;corner_2h_count;team_a_fh_cards;team_b_fh_cards;team_a_2h_cards;team_b_2h_cards;total_fh_cards;total_2h_cards;attacks_recorded;team_a_dangerous_attacks;team_b_dangerous_attacks;team_a_attacks;team_b_attacks;team_a_xg;team_b_xg;total_xg;team_a_penalties_won;team_b_penalties_won;team_a_penalty_goals;team_b_penalty_goals;team_a_penalty_missed;team_b_penalty_missed;pens_recorded;goal_timings_recorded;team_a_0_10_min_goals;team_b_0_10_min_goals;team_a_corners_0_10_min;team_b_corners_0_10_min;team_a_cards_0_10_min;team_b_cards_0_10_min;throwins_recorded;team_a_throwins;team_b_throwins;freekicks_recorded;team_a_freekicks;team_b_freekicks;goalkicks_recorded;team_a_goalkicks;team_b_goalkicks;o45_potential;o35_potential;o25_potential;o15_potential;o05_potential;o15HT_potential;o05HT_potential;o05_2H_potential;o15_2H_potential;corners_potential;offsides_potential;cards_potential;avg_potential;home_url;home_image;home_name;away_url;away_image;away_name;home_ppg;away_ppg;pre_match_home_ppg;pre_match_away_ppg;pre_match_teamA_overall_ppg;pre_match_teamB_overall_ppg;u45_potential;u35_potential;u25_potential;u15_potential;u05_potential;corners_o85_potential;corners_o95_potential;corners_o105_potential;team_a_xg_prematch;team_b_xg_prematch;total_xg_prematch;match_url;competition_id;matches_completed_minimum;over05;over15;over25;over35;over45;over55;btts
1321715;501;2341;2021/2022;complete;72429;1;-1;['23', '45', '48', '55'];['6', '40', '83'];4;3;7;5;7;12;0;4;3;4;0;0;5;6;11;7;16;13;11;14;55;45;381;4896;1171;Stadio Ciro Vigorito (Benevento);;3;4;1,69;3,55;5,25;1,08;1,32;1,91;3,1;5,75;8,75;3,3;1,87;1,36;1,14;1,87;1,91;2,3;1,67;5,25;1,19;1,15;1,22;2,15;2,25;2,25;5,5;1,95;2,5;4,75;0;0;1,36;1,66;2,12;2,88;4,1;3;2,15;1,66;1,38;1,22;1,39;8,8;4,2;1,44;7,75;3;2,9;10,25;1,36;2,75;7;21;3;1,4;1,1;1,02;1,22;2,05;4,25;9;3,75;1,7;1,18;1,03;0;0;0;0;7;2;2;2;1;3;4;###############################################################################################################################################################################################################################################################;501;0;0;0;0;0;-1;1;1;2;1;3;6;3;9;1;2;2;2;3;4;1;49;39;73;79;1,71;1,52;3,23;1;1;1;1;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;/clubs/benevento-calcio-501;teams/italy-benevento-calcio.png;Benevento;/clubs/us-alessandria-calcio-1912-2341;teams/italy-us-alessandria-calcio-1912.png;US Alessandria;1,85;0,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;/italy/benevento-calcio-vs-us-alessandria-calcio-1912-h2h-stats#1321715;6205;38;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO
1321716;508;498;2021/2022;complete;72429;1;-1;['53'];[];1;0;1;9;2;11;4;5;6;4;0;0;9;6;8;4;17;10;22;18;55;45;8936;40963;1109;Stadio Pier Cesare Tombolato (Cittadella);;6;4;2,45;3;3;1,11;1,39;2,1;3,4;6,5;7;2,9;1,71;1,3;1,12;1,83;1,95;2,85;1,45;3,45;1,33;1,34;1,28;1,57;3,1;2,05;3,6;2,63;2,3;3,2;0;0;1,27;1,5;1,85;2,45;3,4;3,55;2,48;1,95;1,5;1,29;1,57;8,5;3,17;1,8;7;2,25;4,25;6;1,44;3,25;9;26;2,63;1,33;1,07;1,01;1,25;2,2;5;15;3,75;1,62;1,17;1,03;0;0;0;0;1;0;0;1;0;1;0;###############################################################################################################################################################################################################################################################;508;0;0;0;0;0;-1;1;1;5;0;4;2;5;6;0;1;6;3;1;9;1;63;32;110;94;2,16;1,29;3,45;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;/clubs/as-cittadella-508;teams/italy-as-cittadella.png;Cittadella;/clubs/vicenza-calcio-498;teams/italy-vicenza-calcio.png;Vicenza;1,37;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;/italy/vicenza-calcio-vs-as-cittadella-h2h-stats#1321716;6205;38;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
1321717;1046;2330;2021/2022;complete;72429;1;-1;['51', '60', '65'];[];3;0;3;3;4;7;1;7;3;1;0;0;5;9;9;7;14;16;12;14;41;59;2758;1169;1165;Stadio Giovanni Zini (Cremona);;3;1;2,7;3,1;2,65;1,09;1,34;1,95;3,1;5,75;8,25;3,15;1,83;1,35;1,14;1,74;2,05;3,5;1,32;3,2;1,38;1,53;1,26;1,4;3,5;2,1;3,1;3;2,4;2,75;0;0;1,18;1,34;1,61;2,02;2,7;4,5;3,1;2,23;1,74;1,43;1,95;7,9;2,29;2,1;7,5;1,83;5,5;4,75;1,4;3;8;23;2,75;1,36;1,08;1,01;1,22;2,05;4,2;8,75;3,75;1,7;1,19;1,04;0;0;0;0;3;0;0;3;0;3;0;###############################################################################################################################################################################################################################################################;1046;0;0;0;0;0;-1;1;1;2;1;1;3;3;4;2;1;1;0;3;1;1;43;49;107;89;1,55;1,99;3,54;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;/clubs/us-cremonese-1046;teams/italy-us-cremonese.png;Cremonese;/clubs/us-lecce-2330;teams/italy-us-lecce.png;Lecce;2,05;1,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;/italy/us-cremonese-vs-us-lecce-h2h-stats#1321717;6205;38;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO
1321718;457;518;2021/2022;complete;72429;1;-1;['49', '66'];['53', '79'];2;2;4;7;3;10;0;0;4;4;0;0;6;6;13;8;19;14;15;12;59;41;2495;27838;21404;Stadio Ezio Scida (Crotone);;4;4;1,8;3,45;4,6;1,08;1,33;1,91;3,1;6;8,75;3,2;1,87;1,35;1,14;1,87;1,91;2,3;1,65;5,25;1,19;1,17;1,2;2,1;2,3;2,2;5;2;2,55;4,5;0;0;1,36;1,66;2,12;2,88;4,1;3;2,15;1,66;1,38;1,22;1,4;8,9;4,1;1,44;8,25;3;2,95;10;1,4;2,75;8;21;2,75;1,4;1,08;1,02;1,22;2,05;4,1;8,5;3,8;1,7;1,19;1,04;0;0;0;0;4;0;0;2;2;4;0;###############################################################################################################################################################################################################################################################;-1;0;0;0;0;0;-1;1;1;3;1;4;2;4;6;1;3;3;1;4;4;1;62;31;112;76;2,07;1,53;3,59;0;1;0;1;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;/clubs/fc-crotone-457;teams/italy-fc-crotone.png;Crotone;/clubs/calcio-como-518;teams/italy-calcio-como.png;Como;1,05;1,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;/italy/fc-crotone-vs-calcio-como-h2h-stats#1321718;6205;38;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;VERDADEIRO
1321719;474;476;2021/2022;complete;72429;1;-1;['31', '89'];['41', '52'];2;2;4;10;6;16;1;1;1;2;0;0;8;4;11;5;19;9;16;11;59;41;2474;2408;36962;Stadio Benito Stirpe (Frosinone);;1;2;2,9;3;2,55;1,11;1,42;2,1;3,5;6,75;7;2,8;1,69;1,29;1,11;1,87;1,91;3,45;1,33;2,65;1,53;1,62;1,26;1,33;4;2,1;2,88;3,4;2,3;2,5;0;0;1,27;1,5;1,93;2,45;3,4;3,55;2,48;1,88;1,5;1,29;2,01;7,8;2,22;2,38;7;1,73;6;3,8;1,44;3,25;10;26;2,63;1,33;1,06;1,01;1,3;2,35;5,25;10,5;3,25;1,53;1,13;1,02;0;0;0;0;4;1;1;1;1;2;2;###############################################################################################################################################################################################################################################################;-1;0;0;0;0;0;-1;1;1;5;3;5;3;8;8;1;1;0;1;2;1;1;65;25;119;66;2,23;1,03;3,26;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;/clubs/frosinone-calcio-474;teams/italy-frosinone-calcio.png;Frosinone;/clubs/parma-calcio-1913-476;teams/italy-parma-calcio-1913.png;Parma;1,89;1,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;/italy/frosinone-calcio-vs-parma-calcio-1913-h2h-stats#1321719;6205;38;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;FALSO;FALSO;VERDADEIRO
1321720;507;512;2021/2022;complete;72429;1;-1;['1'];[];1;0;1;5;4;9;3;3;2;4;0;0;3;5;10;11;13;16;26;11;42;58;2781;4939;2343;Arena Garibaldi - Stadio Romeo Anconetani (Pisa);;2;4;2,45;3,1;2,9;1,09;1,36;2;3,2;6;7,75;3,05;1,8;1,33;1,13;1,8;2;3,1;1,4;3,5;1,33;1,36;1,3;1,53;3,1;2,1;3,5;2,63;2,35;3,1;0;0;1,27;1,5;1,85;2,45;3,4;3,55;2,48;1,95;1,5;1,29;2,02;7,8;2,21;1,8;7,25;2,2;4,6;5,75;1,4;3;9;23;2,75;1,36;1,07;1,01;1,25;2,1;4,4;9,25;3,6;1,65;1,17;1,03;0;0;0;0;1;1;0;0;0;0;1;###############################################################################################################################################################################################################################################################;507;0;0;0;0;0;-1;1;1;4;2;1;2;6;3;1;2;1;2;3;3;1;31;46;94;128;1,26;1,7;2,96;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;/clubs/ac-pisa-1909-507;teams/italy-ac-pisa-1909.png;Pisa;/clubs/societa-polisportiva-ars-et-labor-2013-512;teams/italy-societa-polisportiva-ars-et-labor-2013.png;SPAL;1,95;1,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;/italy/ac-pisa-1909-vs-societa-polisportiva-ars-et-labor-2013-h2h-stats#1321720;6205;38;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
1321721;2332;502;2021/2022;complete;72429;1;-1;[];['45+2'];0;1;1;3;1;4;1;3;1;7;0;1;0;4;12;6;12;10;14;19;58;42;2762;37255;4915;Stadio Guido Teghil (Lignano Sabbiadoro);;1;8;2,35;3,05;3,15;1,11;1,44;2,15;3,65;7;6,75;2,7;1,67;1,27;1,11;1,95;1,83;2,8;1,48;3,3;1,36;1,36;1,3;1,53;3,1;2,05;3,6;2,75;2,3;3,2;0;0;1,27;1,5;1,88;2,45;3,4;3,55;2,48;1,93;1,5;1,29;2,07;7,6;2,17;1,83;6,75;2,25;4,25;5,75;1,44;3,25;10;26;2,63;1,33;1,06;1,01;1,28;2,3;5;10,5;3,3;1,55;1,14;1,02;0;0;0;0;1;0;1;0;0;0;1;###############################################################################################################################################################################################################################################################;502;0;0;0;0;0;-1;1;1;0;0;3;1;0;4;0;2;1;6;2;7;1;41;33;117;92;1,07;1,16;2,22;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;/clubs/pordenone-calcio-2332;teams/italy-pordenone-calcio.png;Pordenone;/clubs/perugia-calcio-502;teams/italy-perugia-calcio.png;Perugia;0,68;1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;/italy/perugia-calcio-vs-pordenone-calcio-h2h-stats#1321721;6205;38;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
1321722;522;2356;2021/2022;complete;72429;1;-1;[];[];0;0;0;4;2;6;2;1;2;3;0;1;4;2;8;7;12;9;19;18;44;56;2785;1172;1223;Stadio Oreste Granillo (Reggio Calabria);;2;5;3;3;2,45;1,12;1,45;2,25;3,75;7,25;6,5;2,7;1,62;1,26;1,1;1,95;1,8;3,25;1,37;2,7;1,5;1,55;1,3;1,33;3,75;2;3,1;3,25;2,25;2,75;0;0;1,27;1,5;1,9;2,45;3,4;3,55;2,48;1,9;1,5;1,29;2,5;8;1,83;2,3;6,25;1,83;5,75;4,15;1,5;3,4;10;19,5;2,5;1,3;1,06;1,01;1,3;2,35;5,25;10,5;3,2;1,53;1,13;1,02;0;0;0;0;0;0;0;0;0;0;0;###############################################################################################################################################################################################################################################################;-1;0;0;0;0;0;-1;1;1;2;1;2;1;3;3;0;0;2;4;0;6;1;43;48;84;121;1,35;1,07;2,42;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;/clubs/urbs-sportiva-reggina-1914-522;teams/italy-urbs-sportiva-reggina-1914.png;Reggina;/clubs/ss-monza-1912-2356;teams/italy-ss-monza-1912.png;Monza;1,53;1,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;/italy/urbs-sportiva-reggina-1914-vs-ss-monza-1912-h2h-stats#1321722;6205;38;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
1321723;503;505;2021/2022;complete;72429;1;-1;[];['29', '39'];0;2;2;5;2;7;2;3;0;4;0;0;7;3;8;10;15;13;6;20;54;46;8947;4885;1106;Stadio Libero Liberati (Terni);;0;4;2,35;3,25;2,95;1,07;1,28;1,8;2,8;4,95;9,5;3,55;2;1,42;1,17;1,65;2,2;3,4;1,34;3,3;1,36;1,53;1,26;1,4;3,4;2,1;3,2;2,88;2,45;2,75;0;0;1,27;1,5;1,9;2,45;3,4;3,55;2,48;1,9;1,5;1,29;1,83;7,8;2,53;2,1;8;1,83;5,25;5;1,4;3;8;23;2,75;1,36;1,08;1,01;1,22;2,05;4,2;8,75;3,8;1,7;1,19;1,04;0;0;0;0;2;0;2;0;0;0;2;###############################################################################################################################################################################################################################################################;505;0;0;0;0;0;-1;1;1;2;2;3;0;4;3;0;1;0;3;1;3;1;61;42;121;111;1,88;1,34;3,23;0;1;0;1;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;/clubs/ternana-calcio-503;teams/italy-ternana-calcio.png;Ternana;/clubs/brescia-calcio-505;teams/italy-brescia-calcio.png;Brescia;1,53;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;/italy/ternana-calcio-vs-brescia-calcio-h2h-stats#1321723;6205;38;VERDADEIRO;VERDADEIRO;FALSO;FALSO;FALSO;FALSO;FALSO
1321724;508;457;2021/2022;complete;72429;2;-1;['19', '62', '66', '74'];['29', '68'];4;2;6;2;4;6;1;1;1;2;0;0;13;4;2;11;15;15;7;16;41;59;2808;40963;27838;Stadio Pier Cesare Tombolato (Cittadella);;1;2;2,25;3,25;3,2;1,08;1,31;1,83;2,95;5,25;9;3,35;1,91;1,38;1,16;1,71;2,1;2,9;1,43;3,65;1,31;1,34;1,3;1,55;2,95;2;3,7;2,65;2,35;3,25;0;0;1,22;1,42;1,74;2,23;3;4;2,75;2,02;1,61;1,35;1,73;8,2;2,7;1,85;7,25;2,15;4,1;6;1,42;2,75;6,75;15,5;2,65;1,4;1,07;1,01;1,25;2,1;4,4;9,25;3,6;1,65;1,17;1,03;0;0;0;0;6;1;1;3;1;4;2;###############################################################################################################################################################################################################################################################;508;0;0;0;0;0;-1;1;1;0;1;2;3;1;5;1;1;0;1;2;1;1;49;60;103;105;2,21;1,66;3,88;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;0;50;0;9;4;6;0,5;/clubs/as-cittadella-508;teams/italy-as-cittadella.png;Cittadella;/clubs/fc-crotone-457;teams/italy-fc-crotone.png;Crotone;1,37;0,32;3;0;3;1;50;50;50;50;0;50;50;50;2,16;0;2,16;/italy/fc-crotone-vs-as-cittadella-h2h-stats#1321724;6205;38;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO
